key,model,accuracy,accuracy_std,balanced_accuracy,balanced_accuracy_std,f1_macro,f1_macro_std,mcc,mcc_std,kappa,kappa_std,roc_auc,roc_auc_std
svm,Support vector machine,0.9623376623376624,0.034957882654930605,0.9607142857142857,0.03860440160957242,0.9602828054298642,0.038226571770215816,0.9453310641944948,0.051182970183552695,0.943145699456253,0.05301955784283636,0.9966038359788361,0.004787394757709147
rf,Random forest,0.9573593073593074,0.05811234836839059,0.9561507936507938,0.058337719843711486,0.9569195347136524,0.057204749230592225,0.9387123829070658,0.08418325054159244,0.9358403816959445,0.0871827112693079,0.9952735260770975,0.009270486980459843
et,Extra trees,0.9525974025974027,0.06389095639702881,0.9513888888888891,0.06400616516113444,0.951668494903789,0.06394642404693411,0.932900639866911,0.09055687534063897,0.9286975245530874,0.0958345405816467,0.9947597789115648,0.00906670185645558
ada,AdaBoost,0.9432900432900434,0.03576082498365954,0.9458333333333334,0.03424042147207062,0.9427655677655679,0.03561537287377884,0.9204034993461271,0.04938785943265543,0.9150517835447829,0.05347692892256887,0.9869042894935752,0.00927157821252351
lgbm,LightGBM,0.9432900432900434,0.059212487710987916,0.9416666666666668,0.06093046894498168,0.9413665038665039,0.06106428393034035,0.9173882812141606,0.08617298052221374,0.9145238095238095,0.0890823875337178,0.993882747543462,0.010171992611281624
gboost,Gradient boosting,0.9385281385281387,0.052120924478934766,0.936904761904762,0.052650819970228524,0.9375211226681817,0.05261035683139199,0.9090781933470978,0.07764975550432558,0.9075800492610838,0.07822053060266766,0.9915069916855632,0.01160872183749125
logreg,Logistic regression,0.9337662337662337,0.060792847598602776,0.9319444444444445,0.06503004567516452,0.9308190883190883,0.06488504734027156,0.903075903895917,0.08991749673390519,0.8999404761904761,0.09246040474483244,0.9883714169428455,0.017654288509321308
nbayes,Gaussian naive Bayes,0.91991341991342,0.06705067343048182,0.9178571428571429,0.06845209339714162,0.9192583995525172,0.06702102227453055,0.8837068525122405,0.09957697188192086,0.8794146179942375,0.10075482872496455,0.972043214721786,0.03401591875899553
knn,K nearest neighbors,0.90995670995671,0.07232288107302573,0.9089285714285715,0.0767395579252767,0.907136143583512,0.07524005153536828,0.8729368763133081,0.09948207580739206,0.8643115942028986,0.10930495999809281,0.9856848145241003,0.01850779612098094
dtree,Decision tree,0.9006493506493507,0.04524223763631266,0.898809523809524,0.04475514977737042,0.8983268039150392,0.0451367107659743,0.855520763882909,0.06655609463943361,0.8506499037663164,0.06770521724547375,0.924690170940171,0.03369432859027398
baseline,Most frequent baseline,0.33939393939393947,0.012121212121212132,0.33333333333333337,5.551115123125783e-17,0.16888888888888892,0.0044444444444444505,0.0,0.0,0.0,0.0,0.5,0.0
