key,model,accuracy,accuracy_std,balanced_accuracy,balanced_accuracy_std,f1_macro,f1_macro_std,mcc,mcc_std,kappa,kappa_std,roc_auc,roc_auc_std
lgbm,LightGBM,0.942156862745098,0.072899260568711,0.9492063492063492,0.06351190166267479,0.9469243773655538,0.06735451912863888,0.9168549507724505,0.10469099395950707,0.9112194673296342,0.11167872746510786,0.9930447330447331,0.016586961075636508
logreg,Logistic regression,0.9415032679738562,0.06960784313725492,0.9440476190476191,0.06443862863741122,0.9448191677603441,0.06446827632947033,0.9145817985775173,0.10107464917539322,0.9093633852590612,0.10799763751200502,0.9891774891774892,0.026653060876916147
rf,Random forest,0.9179738562091504,0.0707038813023639,0.9285714285714286,0.06369016713567896,0.9256350185761951,0.06702761981155278,0.8800141784387405,0.10234601974386405,0.8731467191052683,0.10878807326710435,0.9933477633477633,0.010473536686999846
gboost,Gradient boosting,0.9186274509803922,0.0641464227566886,0.9293650793650794,0.05901368712705177,0.9243798902622432,0.06221477207385563,0.8844357849736563,0.08916283903752606,0.8743047812240426,0.09885796969969231,0.992987012987013,0.019503401664493603
et,Extra trees,0.9183006535947712,0.06517949073958693,0.925,0.061743022328425295,0.9243702648114412,0.06194403477402361,0.8819542990624735,0.09354162339383697,0.8732589743116058,0.1008274357073581,0.9946464646464646,0.007428711018308583
svm,Support vector machine,0.912091503267974,0.08434222044707107,0.9095238095238095,0.09112825456766553,0.9090499369911134,0.08757812479045816,0.8719269014930491,0.1247696732481887,0.8624678084636008,0.1325626992132044,0.9879037629037629,0.01699073359179624
dtree,Decision tree,0.8957516339869281,0.08296342352172562,0.9075396825396826,0.07226254761182986,0.9061951719304661,0.07460336735561914,0.8450776200952108,0.12176147682818789,0.8384399678796962,0.12797029088606302,0.9255180930180928,0.0584821564143656
nbayes,Gaussian naive Bayes,0.8722222222222221,0.071991172132189,0.8876984126984127,0.06116906137121139,0.8790658524482055,0.07029647028050823,0.825918830085065,0.09208676876917761,0.8028253858150765,0.1100710450551597,0.9947041847041846,0.005543849288481707
ada,AdaBoost,0.8372549019607842,0.08170980325237323,0.8531746031746034,0.08074202360863414,0.846626064567241,0.08260552745348178,0.7649610251994496,0.11887276509749559,0.7499330158456698,0.12517054164676156,0.9358441558441557,0.03597771577043725
knn,K nearest neighbors,0.8133986928104575,0.09106395475119446,0.821031746031746,0.09884776464064324,0.8021054000465766,0.09648931513142268,0.7296478643768907,0.14079855339684771,0.7133816138844953,0.1394981573997835,0.9339056776556776,0.04929853446379693
baseline,Most frequent baseline,0.3954248366013072,0.023015446877985617,0.33333333333333337,5.551115123125783e-17,0.18878260869565217,0.008021849319990837,0.0,0.0,0.0,0.0,0.5,0.0
