key,model,accuracy,accuracy_std,balanced_accuracy,balanced_accuracy_std,f1_macro,f1_macro_std,mcc,mcc_std,kappa,kappa_std,roc_auc,roc_auc_std
logreg,Logistic regression,0.925,0.06922186552431728,0.9222222222222222,0.073282810879294,0.9211904761904762,0.07417363396208032,0.8955405523465488,0.09695452823718959,0.886968085106383,0.10454698942021785,0.9935570987654321,0.013561436976729256
lgbm,LightGBM,0.925,0.07861650943380503,0.9222222222222222,0.08221471437193748,0.9205820105820106,0.0846062022349553,0.8934510129377078,0.11215987823256611,0.886968085106383,0.11855409312559032,0.9902391975308641,0.01590709009406279
et,Extra trees,0.925,0.08700255424092125,0.9222222222222222,0.0927960727138337,0.9193121693121693,0.09640125973170145,0.8920775277949259,0.12738256265613188,0.8871052631578948,0.13130075855331494,0.9891975308641975,0.014858154199890002
rf,Random forest,0.925,0.06922186552431728,0.9222222222222222,0.073282810879294,0.9188624338624338,0.0770545551408872,0.8955405523465488,0.09695452823718959,0.886968085106383,0.10454698942021785,0.9879629629629629,0.02323017872733019
svm,Support vector machine,0.9083333333333334,0.06922186552431728,0.9055555555555556,0.0726483157256779,0.9040476190476191,0.07375669441213811,0.8680808854224005,0.101629906066664,0.861968085106383,0.1044197167787305,0.9806712962962962,0.02650968332864776
gboost,Gradient boosting,0.9083333333333334,0.07861650943380502,0.9055555555555556,0.08164965809277261,0.9037830687830688,0.08384374217946561,0.8692446858336943,0.1126722479809478,0.861968085106383,0.11844187288349627,0.9815200617283951,0.02944936665415047
knn,K nearest neighbors,0.8916666666666666,0.07499999999999998,0.8888888888888887,0.0775791113542719,0.8841366041366042,0.08535707888059225,0.8483030893784613,0.10186517844407478,0.836968085106383,0.1129242290541292,0.9673996913580248,0.046096211150610876
ada,AdaBoost,0.875,0.07682953714410738,0.8722222222222221,0.07576767609436585,0.8679100529100531,0.07934285844128065,0.8270605617048776,0.10891737059214392,0.8120967741935484,0.1150317786250932,0.9580439814814815,0.042563057455423756
nbayes,Gaussian naive Bayes,0.875,0.09316949906249122,0.875,0.09316949906249122,0.8610582010582011,0.12083153707146992,0.833047807292081,0.11436443112384793,0.8125,0.1397542485937369,0.967650462962963,0.0375261129503654
dtree,Decision tree,0.8416666666666668,0.08700255424092125,0.8388888888888889,0.090267093384844,0.8371957671957672,0.09304373841476629,0.7698017523510698,0.12858833062358171,0.7621052631578947,0.13092442471192908,0.8803240740740741,0.06627852868159892
baseline,Most frequent baseline,0.35,0.03333333333333335,0.33333333333333337,5.551115123125783e-17,0.17254901960784313,0.011764705882352943,0.0,0.0,0.0,0.0,0.5,0.0
