,Low,Medium,High,Total
roof_geometry,8.272159844588943,4.868668295033804,7.832884105027141,20.97371224464989
roof_covering,2.7632067462768153,6.026107781500858,8.647281230522342,17.436595758300015
facade_openings,5.2279356051885895,2.907157210909752,4.497565789518976,12.632658605617317
roof_condition,2.462518418032212,3.75624552548829,5.104498205263482,11.323262148783984
structural_system,2.968882935162208,2.7083421199885414,3.009136538486302,8.686361593637052
structural_damage,1.4688324925910938,2.829859965942286,4.275700896847872,8.574393355381252
roof_anchorage,1.9297050176650503,2.0977458882460467,2.746191230749309,6.773642136660406
construction_quality,2.6937015616150894,1.8486704198414403,1.5542930167458353,6.096664998202365
stories,1.19779326619192,1.1601606523797305,1.8851804821239684,4.243134400695618
construction_period,1.1617016893819527,1.1182256117119234,0.97964745697821,3.2595747580720857
